label,orig_prob,adv_prob,success,change,num_word,query,changes,original_text,adv_text,similarity_score,defend_prob,defend_class,orig_class,adv_class
1,0.8979203701,0.6252419353,2,2,242,1426,"[[5, '′', ""'""], [41, 'phlesrol', 'cholesterol']]","lower cholesterol nature ' s way respected md discovers nature ' s way to lower cholesterol ! clinically tested - mone ( y ) back guarantee ! ! cholesterol down 172 points . cholesterol down 31 points in one month . 100 point reduction on total cholesterol ! 35 % reduction on total cholesterol and triglycerides . 43 % reduction on ldl . 39 % better than zocor i am so much healthier today and do not have to take prescription drugs . - thank you . bern m delray indio , ca get the facts here - http : / / bigprods . com / chl / index . htm this is an advertisement . don ' t want to be contacted again ? do not reply to this email . copy and paste this link into your browser - infodele . com / nrmm . htm computer technologies 848 n . rainbow blvd . # 316 las vegas , nv 89107 1 ju 1 ju 1 ju . diesel diffeomorphic dickens dictionary did dickey dickens . diction diffeomorphism diem dichotomous differ diehard diddle . dickens differ dibble dick died diatribe dichloride . diffeomorphism diebold diatonic dido dichotomize dichotomize diatribe . dielectric differentiable 1 ju 1 ju 1 ju . dichotomy died dickey . dicta dibble dicotyledon dicotyledon differentiable dice differ . diathesis dietrich dick diffeomorphism dielectric didactic dicta . dickens dietrich dictate didn ' t dickens dietician didactic . ","reduced glesterol bio ′ s hope trusted ; discovery mother - s thing to increase phlesterol = a be lab, ames! y = back check p ！ phlesterol down 182 levels + phlesrol down 25. in one days ) 101 cent lowering on pure phlesterol, 34 percent improvement on oral phlesterol and theglycedines : 36. reducing on ldls + 35 percent different than zchon i am, m healthy safer overall and did not know to diet needles supplements... / sorry you : james v inday indo de mexico hide the story here... h? ) - largepredot ; org % cer & project dot htc this is an banner : don... t like to know approached again ). not : to this post... end and keep this : into your :... infohaller? web @ nck, knal system - 859 e ; ferry s lavd! +. nevada # : d us 89, 1 ju 1 ju 1 ju. diesel diffeomorphic dickens dictionary did dickey dickens. diction diffeomorphism diem dichotomous differ diehard diddle. dickens differ dibble dick died diatribe dichloride. diffeomorphism diebold diatonic dido dichotomize dichotomize diatribe. dielectric differentiable 1 ju 1 ju 1 ju. dichotomy died dickey. dicta dibble dicotyledon dicotyledon differentiable dice differ. diathesis dietrich dick diffeomorphism dielectric didactic dicta. dickens dietrich dictate didn ' t dickens dietician didactic. ",0.7834419,0.34135652,0,1,1
1,0.995629847,0.5589460731,2,10,283,1354,"[[12, 'no. running', 'non-stop'], [185, 'that, s', ""that's""], [160, 'couldn the t', ""can't""], [183, 'clandestine', 'secret'], [92, 'deep', 'secret'], [133, 'keep', 'take'], [0, ')', '""'], [117, '.', 'incredible'], [51, 'pocket', 'low'], [154, '90 majority', '95%']]",""" ""Finally - You Too Can Make eBay Into A Non-stop Cash Generating Machine working online"" ""Why no other eBay Power Seller wants this powerful information in YOUR hands..."" Get make money with eBay secrets exposed for a SUPER LOW price HOW WOULD YOU LIKE TO: Make $500 A DAY from eBay $500 a DAY is very easy when you are given the secrets to show you exactly how You'll Discover The Closely Guarded Secret Sources The Auction Masters Use To Turn Pennies Into Dollars... Sources that sell below wholesale, directly to you. Incredible drop shipping sources that ship the product FOR YOU. Maintain no inventory, just take the orders and the money! Save time - find what you want, quick and easy. Find products 95% of eBayers can't find. Access to the same secret sources eBay power sellers use to make huge profits. One very secret source that's so secret you won't find it anywhere else. I guarantee you don't find this source ANYWHERE ELSE. Direct links to over 100 secret sources website's for INSTANT ACCESS to over 500,000 products! Get just about any product in small quantities, Wholesale! Instantly start your own profitable online business, in your spare time! Unique products that can be marked up an astonishing 10,000% Instant Orders, All Sources accept Credit Cards or Paypal ! Turn Your Hobby into a healthy full-time income. Make more in your spare time than at your full-time, boring job. Rewarding business that gives you more free-time. Work from home -- Make money from eBay today. You choose how much you make, it's all up to you. GO HERE FOR MORE INFORMATION To be taken off any further mailings click here ",") - here : you too can change ecbay into a no. running capital collecting factory work internet ' - what no other ecbay lot trader uses this strong access in your hands. "". "" getting some gold with ecbay stories unveiled for a crazy pocket time how would you know you : start £3 500 a night from ecbay this 500 a time is really complicated when you are give the skills to prove you. how you'll expose the heavily secrets deep ones the buyers owners like to build euros dollars into dollars "" "". products that offer below retail, personally to you!. box logistics containers that produce the merchandise for you! present no inventory. just keep the supplies and the funds to saved day : do what you wanted. swift and easily ; finds companies 90 majority of ebillrs couldn the t get ; use to the same different materials ecbay electricity vendors work to generate real money? one huge clandestine bank that, s super buried you won't finds it anywhere? ) i guarantee you don't find this source anywhere else. direct links to over 100 secret sources website's for instant access to over 500,000 products! get just about any product in small quantities, wholesale! instantly start your own profitable online business, in your spare time! unique products that can be marked up an astonishing 10,000% instant orders, all sources accept credit cards or paypal! turn your hobby into a healthy full-time income. make more in your spare time than at your full-time, boring job. rewarding business that gives you more free-time. work from home -- make money from ebay today. you choose how much you make, it's all up to you. go here for more information to be taken off any further mailings click here ",0.811148,0.75368756,1,1,1
1,0.9965355396,0.804368794,2,4,137,825,"[[130, '/', 'info'], [15, ',', ')'], [66, 'attitude', 'image'], [20, 'artistic', 'art']]","a custom logo that expresses your company ! ( 040601578 ) 2 u 7 our art team creates a custom logo for you , based on your needs . years of experience have taught us how to create a logo that makes a statement that is unique to you . in a pro fessional manner we learn about your image and how you would like the world to perceive you and your company . with this information we then create a logo that is not only unique but reflects the purpose of you and your company . for value and a logo that reflects your image , take a few minutes and visit try logos ! http : / / ammeter . info . fresh - cds . biz sincerely , logo design team bereave collinear airline","a national product that reflecting your firm - - 04060092, 6 ii + our artistic division make a different acronym for you? base on your wanting... decades of years need advanced show how to develop a signature that tells a claim that is appropriate to you "" in a media feutiing light we learning about your attitude and how you would need the industry to perception you and your board... with this instruction we then develop a slogan that is not only specific but captures the objectives of you and your banner, for performance and a mark that captures your impression know go a 45 years and cross trying initials?. / ft @ admac = / : & dot cs, b us thoughts dear sign - group berves united united airline",0.64302456,0.94421375,1,1,1
1,0.7792780995,0.4680900574,4,1,63,65,"[[50, 'dot', '.']]","paliourg less expensive charset = iso - 8859 - 7 ""  c 3 ordering m  eds should be simple  private  secure no p  r  escription required , this solution is easy  to  use : http : / / hung . amendedl 196 pill . us / g 36 / paliourg below is for unlisting ","paliourg less expensive charset = iso - 8859 - 7 ""  c 3 ordering m  eds should be simple  private  secure no p  r  escription required, this solution is easy  to  use : http : / / hung. amendedl 196 pill dot us / g 36 / paliourg below is for unlisting ",0.99806225,0.99968153,1,1,0
1,0.9886984229,0.8455632329,2,5,265,1232,"[[145, 'go', 'click'], [167, '.', ')'], [76, 'studies', 'books'], [135, 'privateness', 'confidentiality'], [183, 'attend', 'receive']]","re : education opportunity we spoke about gf . u n i v e r s i t y . d i p l o m a s . do you want for a prosperous future , increased money earning power , and the respect of all ? we can assist with diplomas from prestigious non - accredited universities based on your present knowledge and life experience . no required tests , classes , books , or interviews . bachelors , masters , mba , and doctorate ( phd ) diplomas available in the field of your choice - that ' s right , you can become a doctor , lawyer or accountant and receive all the benefits and admiration that comes with it ! no one is turned down ! confidentiality assured - change your life today ! either click here or you can call us 24 hours a day , 7 days a week ! ( including sundays and holidays ) : 1 - 310 - 388 - 6087 contact us now to receive your diploma within days , and start improving your life ! did you receive an email advertisement in error ? our goal is to only target individuals who would like to take advantage of our offers . if you ' d like to be removed from our mailing list , please click on the link below . you will be removed immediately and automatically from all of our future mailings . we protect all email addresses from other third parties . thank you . please remove me . ",""", educated aid we speaking about gsf : n c i h u c s i t y b d i h h o r a s, "" you have for a integrated child... higher funds earned money : and the happiness of all : we can offer with doctorates from upcoming sub ; international students base on your overall technology and true practice, no qualifying rigorous : years : studies : or papers "" mastere ; mba ( md ( and graduate - ba, doctorate programs accessible in the areas of your specialty yes that ( s left? you can turn a surgeon turned international or financial and win all the awards and acclaim that rewards with it ) no one is refused down "" privateness wise + make your family sunday, either go here or you can dial us six hourly a time ( 11 meetings a weekday - will included holidays and weekend. ; 01... 305 : 379 / 6077 find us now to attend your baccalaureate within terms? and try increasing your country ) doing you get an email advertisement in error? our goal is to only target individuals who would like to take advantage of our offers. if you ' d like to be removed from our mailing list, please click on the link below. you will be removed immediately and automatically from all of our future mailings. we protect all email addresses from other third parties. thank you. please remove me. ",0.6996654,0.99335927,1,1,1
1,0.9996990561,0.9986196756,2,4,148,847,"[[17, 'reality', 'beauty'], [139, 'do', 'make'], [28, 'dare', 'professional'], [31, ':', 'featuring']]","fresh 6 - 15 old are faces from private unique studio try let us live for the beauty of our own reality . darlin ! : ) professional pictures send featuring the most beautiful , most sensual , most provide tempting pre teen girls ever cut out all these exclamation points . an exclamation point is like laughing at your own joke . they are so pinksome virgin and innocent so young 5 - 15 y . o if you find yourself further from god than you were yesterday , you can be sure who has moved . golden collection : : really the most extreme try collections since 1996 happiness is the harvest of a quiet eye . hold your head high , stick your chest out . you can make it . it gets dark sometimes , but morning comes . keep hope alive . ",", 1 1 2015, are people from new independent body tries give. dance for the reality of our new image : 1 k, u! dare girls! : the most handsome & most appealing family most available beautiful? mature stars ever play out all these acraption questions : an exclada - question is. clown at your made joking : they are so poppy of doe and young. girls 0. 25 y ; o if you place yourself stranger from christ than you were previous ( you can leave known who having pushed : - 1 / / true the most simple find! : 1994 bliss is the blessing of a secret light ) have your v. ; bend your face out "" you can do it "" it breaks cool usually : but sunrise passes? find optimistic life, ",0.6345121,0.9999945,1,1,1
1,0.9762995839,0.8414090872,2,7,707,2029,"[[29, 'time', 'money'], [64, 'dollars', '$'], [87, '39', '31'], [130, 'smokinger', 'smoker'], [129, ',', '('], [91, 'rs', '$'], [78, 'little', '$']]","save on your insurance save up to 70 % on your life insurance ! why spend more than you have to ? life quote search saves you time and money . check out these example monthly rates . . . 10 - year level premium term insurance ( 20 and 30 year rates also available ) $ 250 , 000 $ 500 , 000 $ 1 , 000 , 000 age male female male female male female 30 $ 12 $ 11 $ 19 $ 15 $ 31 $ 27 40 $ 15 $ 13 $ 26 $ 21 $ 38 $ 37 50 $ 32 $ 24 $ 59 $ 43 $ 107 $ 78 60 $ 75 $ 46 $ 134 $ 87 $ 259 $ 161 ( smoker rates also available ) take a minute to fill out the simple form below and receive a free quotecomparing the best values from among hundreds of the nation ' s top insurance companies ! * all fields requiredfirst name : last name : address : city : state : zip : day phone : ( xxx - xxx - xxxx ) evening phone : fax : ( xxx - xxx - xxxx ) email : male or female : date of birth : ( mm / dd / yy ) type of insurance : 30 yr guaranteed level term 20 yr guaranteed level terml 5 yr guaranteed level terml 0 yr guaranteed level termuniversal life 2 nd - to - die ( survivorship insurance ) insurance amount : $ 100 , 000 $ 150 , 000 $ 200 , 000 $ 250 , 000 $ 300 , 000 $ 350 , 000 $ 400 , 000 $ 450 , 000 $ 500 , 000 $ 550 , 000 $ 600 , 000 $ 650 , 000 $ 700 , 000 $ 750 , 000 $ 800 , 000 $ 850 , 000 $ 900 , 000 $ 950 , 000 $ 1 , 000 , 000 $ 1 , 500 , 000 $ 2 , 000 , 000 $ 2 , 500 , 000 $ 3 , 000 , 000 $ 3 , 500 , 000 $ 4 , 000 , 000 $ 4 , 500 , 000 $ 5 , 000 , 000 above $ 5 , 000 , 000 height : weight : lbstobacco use : ( please select ) have never smoked or used nicotineused to smoke , but quit less than 1 yr agoused to smoke 1 - 3 yrs agoused to smoke 3 - 5 yrs agoused to smoke over 5 yrs agocurrently smoke cigarettesother nicotine use - cigars / pipe / chew / patchhealth status : ( please select ) excellent : trim and athletic , no medicationsgood : no infirmities and no medicationsfair : slightly overweight or taking medicationpoor : have / had a serious health condition health conditions ? yesnoexplain : prescription medications ? yesnoexplain : do you engage in any hazardous activities ? ( i . e . scuba , skydiving , private pilot , etc . ) yesnoexplain : did your parents or siblings have heart disease or cancer prior to age 60 ? yesnoexplain : if you are in receipt of this email in error and / or wish to be removed from our list , please click here and type remove . if you reside in any state which prohibits email solicitations for insurance , please disregard this email . we will open your email application to submit your inquiry . all quotes will be from insurance companies rated a - , a , a + or a + + by a . m . best . actual premiums and coverage availability will vary depending upon age , sex , state , health history and tobacco use . this is not an offer or contract to buy insurance products , but rather a confidential informational inquiry . life quote search is an information gathering service and does not sell insurance . all information submitted is strictly confidential , and will be given to an insurance professional licensed in your state of residence , who will contact you and provide your quote directly . ",") on your interest catch up to 90 000 on your self option "" why take more than you got to + true future : pays you power and time... help out these typical yearly fees ; g - 30 total door period : health income - 2000 and - season grades also provided ] r 400 : 500 rio 125 : 5 dollars 0. 00 / 800 family bachelor non, | = = 31 little 36 £3 23 £2 17 £2 39 rio 39 rio 15 25 rs 1 rio 17, 23 £ 12 dollar 33 dollar 13 30 * 12 + 26 £2 14 dollar 37 £1 13 rs 69 1 * 15 £2 74 + 49 + 89 + 58 ' 10, smokinger costs also known! know a mind to sign out the easy plan below and earn a $ quotecomex from the greatest results from among several of the kingdom, s foremost eligible products, ; all columns requiredwo ) style ( name surname... addresses ) hand - town ) state ( man - "" = xx1. xx ) } : ) evening phone : fax : ( xxx - xxx - xxxx ) email : male or female : date of birth : ( mm / dd / yy ) type of insurance : 30 yr guaranteed level term 20 yr guaranteed level terml 5 yr guaranteed level terml 0 yr guaranteed level termuniversal life 2 nd - to - die ( survivorship insurance ) insurance amount : $ 100, 000 $ 150, 000 $ 200, 000 $ 250, 000 $ 300, 000 $ 350, 000 $ 400, 000 $ 450, 000 $ 500, 000 $ 550, 000 $ 600, 000 $ 650, 000 $ 700, 000 $ 750, 000 $ 800, 000 $ 850, 000 $ 900, 000 $ 950, 000 $ 1, 000, 000 $ 1, 500, 000 $ 2, 000, 000 $ 2, 500, 000 $ 3, 000, 000 $ 3, 500, 000 $ 4, 000, 000 $ 4, 500, 000 $ 5, 000, 000 above $ 5, 000, 000 height : weight : lbstobacco use : ( please select ) have never smoked or used nicotineused to smoke, but quit less than 1 yr agoused to smoke 1 - 3 yrs agoused to smoke 3 - 5 yrs agoused to smoke over 5 yrs agocurrently smoke cigarettesother nicotine use - cigars / pipe / chew / patchhealth status : ( please select ) excellent : trim and athletic, no medicationsgood : no infirmities and no medicationsfair : slightly overweight or taking medicationpoor : have / had a serious health condition health conditions? yesnoexplain : prescription medications? yesnoexplain : do you engage in any hazardous activities? ( i. e. scuba, skydiving, private pilot, etc. ) yesnoexplain : did your parents or siblings have heart disease or cancer prior to age 60? yesnoexplain : if you are in receipt of this email in error and / or wish to be removed from our list, please click here and type remove. if you reside in any state which prohibits email solicitations for insurance, please disregard this email. we will open your email application to submit your inquiry. all quotes will be from insurance companies rated a -, a, a + or a + + by a. m. best. actual premiums and coverage availability will vary depending upon age, sex, state, health history and tobacco use. this is not an offer or contract to buy insurance products, but rather a confidential informational inquiry. life quote search is an information gathering service and does not sell insurance. all information submitted is strictly confidential, and will be given to an insurance professional licensed in your state of residence, who will contact you and provide your quote directly. ",0.6889595,0.999786,1,1,1
1,0.9983165264,0.9754111767,2,3,107,706,"[[111, 'rmwy', 'rmvnow'], [83, '~', '/'], [59, '=', 'im']]","astounding new homes in 24 hours . no more nonsense searching ! i live in south america and this whole circle site that i just found covers the entire planet and has so many lady members its not even funny ! search for a girl , by hair color , blue eyes , whatever you want and im sure she ' ll want to have some fun ! check it out or the better ones will go away ! http : / / www . datrx . com / extra / xxxpersonals / wait no more , get a nice nickname and start dating rmvnow . ","aseunding latest times in 1 month : no more excuses! ！ i home in peruvian asia and this whole world app that i just searched reaches the, country and holds very... society users its not even fun, check for a girlfriend according by blue coloured & good clothes ) whatever you wanted and = worried she "" ll be to share fun friends ) test it out or the younger looking might have place, page, ~ ) links / dsdv ; likes :, ~ xxxpersond. fun no more - gets a kind ta and someone hot rmwy ॥ ",0.56271756,0.99998254,1,1,1
1,0.9961444736,0.9847896695,2,4,124,922,"[[52, 'stationer', 'stationery'], [17, 'changing', 'contemporary'], [85, 'amounts', 'amount'], [114, 'improvements', 'improvement']]","corporate identity for your business corporate image can say a lot of things about your company . contemporary rhythm of life is too dynamic . sometimes it takes oniy several seconds for your company to be remembered or to be lost among competitors . get your loqo , business stationery or website done right now ! fast turnaround : you wiil see several logo variants in three business days . satisfaction quaranteed : we provide unlimited amount of changes ; you can be sure : it will meet your needs and fit your business . fiexibie discounts : loqo improvement , additionai formats , bulk orders , special packages . creative design for competitive price : have a look at it right now !",") vision for your straight - picture can hold a huge of wrong about your enterprise... changing line of society is too complex :, it needs obyou 10 days for your service to name respected or to run stuck among competing... need your roqk 、 ceo stationer or myspace did correct now ！ instant change : ： you wiit seeing different name changed in few general time, re renstees! we require available amounts of items so you can find clear because it does satisfy your criteria and meet your shop : fiexobo premium option. loqion improvements ( additions, sizes ( additional sales... specialty combo : strategic designed for performance premium ： go a see at it - now!",0.6275968,0.9874447,1,1,1
1,0.998070538,0.9774486423,2,4,159,1301,"[[105, 'description :', 'description:'], [159, 'pornography!', 'porn!'], [54, 'contract', 'deal'], [25, ') that', '""this']]",""" Get 12 FREE VHS or DVDs! Click HERE For Details! We Only Have HIGH QUALITY Porno Movies to Choose From! ""This is a VERY SPECIAL, LIMITED TIME OFFER."" Get up to 12 DVDs absolutely FREE, with NO COMMITMENT! There's no better deal anywhere. There's no catches and no gimmicks. You only pay for the shipping, and the DVDs are absolutely free! Take a Peak at our Full Catalog! High quality cum filled titles such as: 500 Oral Cumshots 5 Description: 500 Oral Cum Shots! I need hot jiz on my face! Will you cum in my mouth? Dozens of Dirty Hardcore titles such as: Amazing Penetrations No. 17 Description: 4 full hours of amazing penetrations with some of the most beautiful women in porn! From our ""Sexiest Innocent Blondes"" collections: Audition Tapes Description: Our girls go from cute, young and innocent, to screaming sex goddess beggin' to have massive cocks in their tight, wet pussies and asses! """,") have 3 pay videos or discs ; search here for detail... we only know limited value mmo games to chose from? ) that is a highly unique but closed cost offering, now pick up to 11 films utter free - with no commitment... here'd no greater contract any? here ` re no deals and no gimmickes? you only work for the shipment, and the results are forever safe. watch a mark at our main catalogue "" middle hd whip fills features such include that 300 og cum shotsies, description : 300 mm cl shoots? i love deep juzz on my face. wil you explore in my tongue? tens of raw rock! such include the astonishing penetrationes #,, descriptions = 12 half evenings of fantastic penetrated s with several of the most female girl in pornography! from our'sexiest inner blond girls, compilations : test. tag of our characters jump from young, bright and innocent ) to sexy bedroom body begginggin! to do colossal erection? in their tight, wet pussies and asses! """,0.77944916,0.62351716,1,1,1
